flight_id,duration_s,roll_std_deg,pitch_std_deg,yaw_std_deg,altitude_std_m,imu_accel_rms_m_s2,wp_error_mean_m,wp_error_rms_m,hover_jitter_rms_m
20260122_F15,24.0,10.204,10.774,17.259,0.838,9.912,3.66,3.9,0.89
20260122_F16,56.9,13.188,12.746,46.225,0.623,9.927,3.32,4.24,2.43
20260122_F19,31.9,0.033,0.074,0.054,0.279,9.811,,,0.49
20260122_F24,33.9,0.148,0.162,0.151,0.077,9.769,8.53,8.55,0.71
20260122_F25,24.0,4.015,4.66,8.1,1.297,9.78,9.45,9.46,0.6
20260122_F26,28.0,37.992,18.83,63.106,3.784,10.412,6.22,6.22,0.91
20260122_F28,21.4,0.0,0.0,0.0,0.0,9.778,,,0.0
20260122_F29,42.0,0.0,0.0,0.0,0.0,9.778,,,0.0
20260122_F30,18.4,0.0,0.0,0.0,0.0,9.778,,,0.0
20260122_F32,67.0,2.097,2.394,11.568,0.617,9.812,1.94,2.79,3.92
20260122_F33,9.4,0.04,0.073,0.17,0.138,9.826,3.56,3.58,0.41
20260122_F35,79.9,3.831,4.328,10.676,0.709,9.847,2.15,3.12,4.61
20260122_F37,27.9,17.92,14.876,36.014,0.562,9.807,3.94,4.23,1.23
20260122_F38,7.8,0.016,0.022,0.059,0.039,9.754,3.59,3.59,0.14
20260122_F40,33.9,28.403,16.658,36.084,0.531,9.804,2.22,2.92,1.92
20260122_F41,2.8,0.0,0.0,0.0,0.0,9.761,4.38,4.38,0.0
20260122_F43,29.9,8.631,15.854,28.546,0.743,9.733,2.06,3.04,0.58
20260122_F44,52.9,6.817,15.366,25.594,0.652,9.792,3.0,3.71,4.46
20260122_F46,7.9,0.115,0.093,0.052,0.059,9.735,5.18,5.18,0.37
20260122_F47,28.0,0.0,0.0,0.0,0.0,9.707,,,0.0
20260122_F50,37.9,10.914,11.541,25.217,1.316,9.73,6.26,6.31,0.81
20260122_F51,27.9,0.0,0.0,0.0,0.0,9.68,4.5,4.5,0.0
20260122_F52,1.1,0.0,0.0,0.0,0.0,9.68,4.5,4.5,0.0
20260122_F54,15.0,20.557,19.955,23.151,0.831,9.755,5.8,6.63,0.54
20260122_F56,10.0,0.086,0.013,0.102,0.07,9.504,,,0.11
20260122_F57,19.0,18.873,23.764,42.765,0.44,9.641,3.89,4.01,0.86
20260122_F58,16.0,24.943,17.532,58.559,0.397,9.684,3.74,3.85,0.73
20260122_F59,17.0,3.69,6.26,34.12,0.6,9.59,5.85,5.91,0.75
20260122_F60,36.9,6.066,15.999,35.421,0.835,9.735,3.29,3.86,2.96
20260122_F61,19.0,3.136,5.653,29.5,0.431,9.683,5.65,5.9,2.08
20260122_F62,28.9,3.388,11.126,30.667,0.561,9.738,4.5,5.11,1.38
20260122_F63,23.0,35.545,24.388,43.236,0.586,9.782,4.87,5.27,2.5
20260123_F11,19.0,3.325,21.688,10.194,0.54,10.292,4.27,4.51,0.77
20260123_F3,105.9,2.123,2.254,86.625,0.775,9.774,4.58,5.41,1.07
20260123_F6,73.9,0.076,0.052,0.077,0.175,9.682,2.02,2.02,0.44
20260123_F7,5.7,0.037,0.027,0.031,0.136,9.691,1.53,1.53,0.1
20260123_F9,83.9,5.111,4.823,39.632,0.713,9.737,2.4,3.01,4.44
20260124_F10,39.0,0.0,0.0,0.0,0.0,9.876,14.77,14.77,0.0
20260124_F11,16.9,0.0,0.0,0.0,0.0,9.876,14.77,14.77,0.0
20260124_F12,50.9,0.0,0.0,0.0,0.0,9.876,14.77,14.77,0.0
20260124_F14,34.9,2.143,2.552,27.989,0.8,9.836,5.69,6.55,2.65
20260124_F17,9.9,0.0,0.0,0.0,0.0,9.598,12.87,12.87,0.0
20260124_F18,21.9,0.0,0.0,0.0,0.0,9.598,12.87,12.87,0.0
20260124_F19,18.9,0.0,0.0,0.0,0.0,9.598,12.87,12.87,0.0
20260124_F2,3.9,0.044,0.028,0.044,0.038,9.681,0.5,0.5,0.03
20260124_F20,33.9,0.0,0.0,0.0,0.0,9.598,12.87,12.87,0.0
20260124_F3,17.9,20.693,2.145,8.961,0.319,9.698,1.62,1.72,0.59
20260124_F4,15.9,18.906,12.398,71.756,0.255,9.964,2.68,2.71,0.61
20260124_F5,96.9,9.465,5.975,29.746,0.726,9.905,6.05,8.52,8.08
20260124_F7,107.0,14.101,4.058,57.339,0.947,9.781,10.19,11.69,6.76
20260124_F9,30.9,22.746,10.733,10.392,1.021,9.81,8.91,8.91,0.58
20260125_F1,21.8,2.244,4.354,12.181,0.747,9.86,2.67,3.56,0.58
20260125_F2,19.8,1.413,2.545,6.645,0.668,9.845,4.29,4.71,0.5
20260125_F3,17.9,18.135,10.384,19.57,0.552,9.877,5.31,5.33,0.32
